provinceTH,province,visited
กรุงเทพฯ,Bangkok,0
กำแพงเพชร,Kamphaeng Phet,0
ชัยนาท,Chai Nat,0
นครนายก,Nakhon Nayok,0
นครปฐม,Nakhon Pathom,0
นครสวรรค์,Nakhon Sawan,0
นนทบุรี,Nonthaburi,0
ปทุมธานี,Pathum Thani,0
อยุธยา,Phra Nakhon Si Ayutthaya,0
พิจิตร,Phichit,0
พิษณุโลก,Phitsanulok,0
ลพบุรี,Lop Buri,0
สมุทรปราการ,Samut Prakan,0
สมุทรสงคราม,Samut Songkhram,0
สมุทรสาคร,Samut Sakhon,0
สระบุรี,Saraburi,0
สิงห์บุรี,Sing Buri,0
สุพรรณบุรี,Suphan Buri,0
สุโขทัย,Sukhothai,0
อุทัยธานี,Uthai Thani,0
อ่างทอง,Ang Thong,0
เพชรบูรณ์,Phetchabun,0
จันทบุรี,Chanthaburi,0
ฉะเชิงเทรา,Chachoengsao,0
ชลบุรี,Chon Buri,0
ตราด,Trat,0
ปราจีนบุรี,Prachin Buri,0
ระยอง,Rayong,0
สระแก้ว,Sa Kaeo,0
กาญจนบุรี,Kanchanaburi,0
ตาก,Tak,0
ประจวบคีรีขันธ์,Prachuap Khiri Khan,0
ราชบุรี,Ratchaburi,0
เพชรบุรี,Phetchaburi,0
น่าน,Nan,0
พะเยา,Phayao,0
ลำปาง,Lampang,0
ลำพูน,Lamphun,0
อุตรดิตถ์,Uttaradit,0
เชียงราย,Chiang Rai,0
เชียงใหม่,Chiang Mai,0
แพร่,Phrae,0
แม่ฮ่องสอน,Mae Hong Son,0
กาฬสินธุ์,Kalasin,0
ขอนแก่น,Khon Kaen,0
ชัยภูมิ,Chaiyaphum,0
นครพนม,Nakhon Phanom,0
นครราชสีมา,Nakhon Ratchasima,0
บุรีรัมย์,Buri Ram,0
บึงกาฬ,Bueng Kan,0
มหาสารคาม,Maha Sarakham,0
มุกดาหาร,Mukdahan,0
ยโสธร,Yasothon,0
ร้อยเอ็ด,Roi Et,0
ศรีสะเกษ,Si Sa Ket,0
สกลนคร,Sakon Nakhon,0
สุรินทร์,Surin,0
หนองคาย,Nong Khai,0
หนองบัวลำภู,Nong Bua Lam Phu,0
อำนาจเจริญ,Amnat Charoen,0
อุดรธานี,Udon Thani,0
อุบลราชธานี,Ubon Ratchathani,0
เลย,Loei,0
กระบี่,Krabi,0
ชุมพร,Chumphon,0
ตรัง,Trang,0
นครศรีธรรมราช,Nakhon Si Thammarat,0
นราธิวาส,Narathiwat,0
ปัตตานี,Pattani,0
พังงา,Phangnga,0
พัทลุง,Phatthalung,0
ภูเก็ต,Phuket,0
ยะลา,Yala,0
ระนอง,Ranong,0
สงขลา,Songkhla,0
สตูล,Satun,0
สุราษฎร์ธานี,Surat Thani,0
